default_exercise_id,default_app_id,default_app_version,exercise_name,exercise_category
147,strongapp,1,Power Clean,Upper Body
86,strongapp,1,Hang Clean (Barbell),Upper Body
93,strongapp,1,Hip Adductor (Machine),Lower Body
102,strongapp,1,Incline Curl (Dumbbell),Upper Body
208,strongapp,1,Squat (Band),Lower Body
233,strongapp,1,Toes To Bar,Upper Body
242,strongapp,1,Triceps Extension (Machine),Upper Body
141,strongapp,1,Overhead Press (Smith Machine),Upper Body
176,strongapp,1,Running (Treadmill),Lower Body
89,strongapp,1,Hanging Leg Raise,Lower Body
107,strongapp,1,Jackknife Sit Up,Lower Body
167,strongapp,1,Reverse Fly (Cable),Upper Body
248,strongapp,1,Walking,Lower Body
155,strongapp,1,Pull Up (Band),Upper Body
186,strongapp,1,Seated Row (Machine),Upper Body
210,strongapp,1,Squat (Bodyweight),Lower Body
225,strongapp,1,Strict Military Press (Barbell),Upper Body
229,strongapp,1,Swimming,Lower Body
61,strongapp,1,Decline Bench Press (Dumbbell),Upper Body
194,strongapp,1,Side Bend (Band),Lower Body
230,strongapp,1,T Bar Row,Upper Body
59,strongapp,1,Deadlift High Pull (Barbell),Upper Body
